domainId,catId,name,parent,highestRank,productCount,contextFreeName,lowestRank
1,16015307011,Home & Garden,241646011,5488676,146,Home & Garden eMagazines,42
1,16015402011,Design & Decoration,16015307011,5360998,40,Design & Decoration eMagazines,712
1,16015408011,Interior Design,16015307011,5360998,61,Interior Design eMagazines,6224
1,16015404011,Gardening & Horticulture,16015307011,4329917,28,Gardening & Horticulture eMagazines,707
1,16015407011,How-to & Home Improvements,16015307011,4967441,23,How-to & Home Improvements eMagazines,1887
1,16015302011,"Cooking, Food & Wine",241646011,6735593,171,"Cooking, Food & Wine eMagazines",42
1,2460170011,"Sports, Recreation & Outdoors",241646011,6042989,257,"Sports, Recreation & Outdoors eMagazines",240
1,16015369011,Sports & Leisure,2460170011,6042989,205,Sports & Leisure eMagazines,240
1,16015461011,Cycling,16015369011,4262397,12,Cycling eMagazines,33313
1,16015465011,Fishing,16015369011,4144855,23,Fishing eMagazines,7800
1,16015464011,Extreme Sports,16015369011,6042989,28,Extreme Sports eMagazines,707
1,16015471011,Hunting & Firearms,16015369011,2547589,23,Hunting & Firearms eMagazines,907
1,16015472011,Individual Sports,16015369011,4675276,7,Individual Sports eMagazines,3579
1,16015462011,Boating,16015369011,5030310,26,Boating eMagazines,22634
1,16015480011,Water Sports,16015369011,5689714,10,Water Sports eMagazines,632901
1,16015368011,Outdoors & Nature,2460170011,5970668,77,Outdoors & Nature eMagazines,907
1,16015318011,"Spanish, International & Foreign Language",241646011,4799689,29,"Spanish, International & Foreign Language eMagazines",64909
1,16015451011,International Publications,16015318011,6737352,104,International ePublications,21912
1,16015552011,United Kingdom,16015451011,5446371,88,eMagazines of the United Kingdom,2462
1,16015524011,France,16015451011,5027918,18,French eMagazines,47999
1,16015510011,Australia,16015451011,5529371,52,Australian eMagazines,183457
1,16015515011,Canada,16015451011,5931899,16,Canadian eMagazines,2462
1,16015452011,Spanish Language,16015318011,5646784,70,Spanish Language eMagazines,320957
1,16015313011,"Literary, Sci-Fi & Mystery",241646011,6739000,82,"Literary, Sci-Fi & Mystery eMagazines",43
1,2460165011,Technology,241646011,5611016,76,Technology eMagazines,483
1,16015357011,Computers & Internet,2460165011,5029090,34,Computers & Internet eMagazines,483
1,16015356011,Audio & Video,2460165011,5583284,9,Audio & Video eMagazines,35391
1,16015303011,Crafts & Hobbies,241646011,5970668,174,Craft & Hobby eMagazines,268
1,16015345011,Decorating,16015303011,4967441,24,Decorating eMagazines,96778
1,16015346011,Knitting,16015303011,4967435,18,Knitting eMagazines,62136
1,16015350011,Needlecrafts,16015303011,4967435,16,Needlecrafts eMagazines,45128
1,16015311011,Professional & Educational Journals,241646011,6735045,86,Professional & Educational Journals eMagazines,14001
1,16015429011,Professional & Trade,16015311011,5701951,95,Professional & Trade eJournals,455
1,16015487011,Arts,16015429011,5308743,72,Arts eJournals,23182
1,16015492011,Humanities & Social Sciences,16015429011,4942023,61,Humanities & Social Sciences eJournals,1870
1,16015494011,Medicine,16015429011,5122865,17,Medicine eJournals,50990
1,16015314011,Newspapers,241646011,2064813,108,eNewspapers,17
1,2460169011,"Science, History & Nature",241646011,5861704,128,"Science, History & Nature eMagazines",43
1,16015308011,Automotive & Motorcycles,241646011,5029826,145,Automotive & Motorcycles eMagazines,1167
1,16015412011,Automotive,16015308011,5557623,144,Automotive eMagazines,268
1,16015413011,Motorcycles,16015308011,5266748,46,Motorcycles eMagazines,1425
1,16015414011,Trucks,16015308011,5454820,23,Trucks eMagazines,277
1,16015315011,Parenting & Families,241646011,4979431,48,Parenting & Families eMagazines,485
1,16015310011,"Health, Fitness & Wellness",241646011,5468553,82,"Health, Fitness & Wellness eMagazines",2486
1,16015423011,Men,16015310011,5605739,20,Men's Fitness eMagazines,1411
1,16015426011,Women,16015310011,5274740,19,Women's Fitness eMagazines,5092
1,16015422011,Health,16015310011,5987752,62,Health eMagazines,1897
1,16015372011,Pregnancy & Childbirth,16015310011,4377461,11,Pregnancy & Childbirth eMagazines,938218
1,16015312011,Children & Teen,241646011,5431859,50,Children's & Teens' eMagazines,69243
1,16015309011,Fashion & Style,241646011,6737351,141,Fashion & Style eMagazines,2486
1,16015370011,Bridal & Weddings,16015309011,5780807,26,Bridal & Weddings eMagazines,113107
1,2460168011,"Travel, City & Regional",241646011,6739000,119,"Travel, City & Regional eMagazines",43
1,2460166011,Lifestyle & Culture,241646011,5062791,191,Lifestyle & Culture eMagazines,42
1,2460164011,Business & Investing,241646011,5495370,98,Business & Investing eMagazines,220
1,16015334011,Economics,2460164011,1150237,15,Economics eMagazines,5863
1,16015335011,Entrepreneurship,2460164011,3960048,21,Entrepreneurship eMagazines,1905
1,16015331011,Business Life,2460164011,5097111,20,Business Life eMagazines,4988
1,16015301011,Entertainment & Pop Culture,241646011,5646784,364,Entertainment & Pop Culture eMagazines,42
1,16015320011,Celebrities & Gossip,16015301011,5027674,30,Celebrities & Gossip eMagazines,949
1,16015324011,Pop Culture,16015301011,5030436,17,Pop Culture eMagazines,641
1,16015327011,Television,16015301011,5529274,32,Television eMagazines,1521
1,16015319011,Video Games,16015301011,3943920,12,Video Game eMagazines,30593
1,16015326011,Tabloids,16015301011,4830752,12,Tabloid eMagazines,7061
1,2460167011,News & Political Commentary,241646011,6737231,109,News & Political Commentary eMagazines,43
1,16015316011,Pets & Animals,241646011,5715574,34,Pets & Animals eMagazines,75589
1,16015317011,Religion & Spirituality,241646011,5985901,54,Religion & Spirituality eMagazines,531
1,2486013011,Kindle Singles,133141011,3290898,26,Kindle Singles,78838
1,17403634011,Biographies & Memoirs,2486013011,4902497,398,Kindle Singles: Biographies & Memoirs,2558
1,17403648011,Literature & Fiction,2486013011,6019810,773,Kindle Singles: Literature & Fiction,19
1,17403658011,Science Fiction & Fantasy,2486013011,4052594,131,Kindle Singles: Science Fiction & Fantasy,1415
1,17403661011,Teen & Young Adult,2486013011,3043425,47,Kindle Singles: Teen & Young Adult,7823
1,17403633011,Arts & Photography,2486013011,5706447,114,Kindle Singles: Arts & Photography,75842
1,17403645011,Humor & Entertainment,2486013011,4101241,96,Kindle Singles: Humor & Entertainment,9107
1,17403653011,Politics & Social Sciences,2486013011,4768413,183,Kindle Singles: Politics & Social Sciences,2558
1,17403656011,Romance,2486013011,3662112,182,Kindle Singles: Romance,1662
1,17506527011,Amazon Original Stories,2486013011,685725,204,Kindle Singles: Amazon Original Stories,19
1,17403644011,History,2486013011,4091959,192,Kindle Singles: History,11580
1,17403660011,Sports & Outdoors,2486013011,3506604,37,Kindle Singles:Sports & Outdoors,122285
